Region_name,year,gvaperhead_pounds_cp,gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.x,perhourworked_pounds_cp,perfilledjob_pounds_cp,UK_gvaperhead_pounds_cp,UK_gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.y,UK_perhourworked_pounds_cp,UK_perfilledjob_pounds_cp
Bedfordshire and Hertfordshire,2015,23942.63843275388,38323.98316970547,47025.92234053996,29.262503652960415,47100.49686068509,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
Bedfordshire and Hertfordshire,2016,24430.775684696386,39304.226822056014,49004.554326610276,28.36027423416246,48295.002185415105,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
Bedfordshire and Hertfordshire,2017,26273.320860395987,42488.90822096564,52030.46766805156,29.836399327128444,50780.88041264339,25586.866310837133,41031.150763279955,52876.237949270304,31.52572569382225,50887.3379283595
Bedfordshire and Hertfordshire,2018,26609.705761457833,42764.493376913815,52544.916508137816,30.369435638983152,50746.478887615296,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
Bedfordshire and Hertfordshire,2019,27526.796925773142,44316.02361194285,54372.83510024142,30.967620582089395,51972.24855900191,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
Bedfordshire and Hertfordshire,2020,25558.779807090596,41229.23588039867,50123.23943661972,33.238049140246034,48668.8199377348,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
Bedfordshire and Hertfordshire,2021,27569.805337796177,44634.58110516934,55079.08243427255,33.3334938392028,52782.250131493885,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
Bedfordshire and Hertfordshire,2022,30019.869535877635,48780.77671545816,60125.143393471684,36.88980277398724,58670.58523028515,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
"Berkshire, Buckinghamshire and Oxfordshire",1998,19129.84013247493,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
"Berkshire, Buckinghamshire and Oxfordshire",1999,20036.166677787736,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
"Berkshire, Buckinghamshire and Oxfordshire",2000,21136.429167470254,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
"Berkshire, Buckinghamshire and Oxfordshire",2001,21757.091317283383,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
"Berkshire, Buckinghamshire and Oxfordshire",2002,22947.856665341023,NA,NA,NA,39683.72652516581,16085.79314272791,NA,NA,NA,32821.521292139805
"Berkshire, Buckinghamshire and Oxfordshire",2003,24519.52211725088,NA,NA,NA,42297.71570644467,16975.748910963528,NA,NA,NA,34503.31916247595
"Berkshire, Buckinghamshire and Oxfordshire",2004,24817.817650191075,NA,NA,26.544393677145553,42188.69445341812,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
"Berkshire, Buckinghamshire and Oxfordshire",2005,25991.520173450575,NA,NA,28.36218945017734,45937.90156587037,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
"Berkshire, Buckinghamshire and Oxfordshire",2006,26681.98364036484,NA,NA,28.852389632096482,46590.50080317338,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
"Berkshire, Buckinghamshire and Oxfordshire",2007,27903.47872226753,NA,NA,29.766846545511545,48661.75592275532,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
"Berkshire, Buckinghamshire and Oxfordshire",2008,28764.647051057374,NA,NA,31.01684050967338,49838.81644659791,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
"Berkshire, Buckinghamshire and Oxfordshire",2009,28366.90578464678,NA,NA,31.790492633327272,50729.418781862216,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
"Berkshire, Buckinghamshire and Oxfordshire",2010,28830.424816192124,NA,NA,33.221403014343046,52049.41727778961,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
"Berkshire, Buckinghamshire and Oxfordshire",2011,29728.288793863147,NA,NA,33.331631064720995,53162.70836870335,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
"Berkshire, Buckinghamshire and Oxfordshire",2012,30301.20249272824,47833.949856144674,60430.982258762444,33.03175600589823,53820.244637475625,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
"Berkshire, Buckinghamshire and Oxfordshire",2013,31013.796238261973,49525.89450639666,61921.13591651698,33.794714026452176,55359.447934956166,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
"Berkshire, Buckinghamshire and Oxfordshire",2014,32048.935461577887,51576.653272491996,64221.506105834465,34.31219826186773,56176.56636779517,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
"Berkshire, Buckinghamshire and Oxfordshire",2015,32741.423043438626,53084.745762711864,64143.52420742198,35.06925576057672,57178.45153742852,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
"Berkshire, Buckinghamshire and Oxfordshire",2016,32531.711250801454,53127.78302523276,64387.57154538022,33.500062844630634,55118.01103116163,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
"Berkshire, Buckinghamshire and Oxfordshire",2017,33535.2037411985,55135.18980513789,65992.25244128803,34.749198287112655,57688.848064374804,25586.866310837133,41031.150763279955,52876.237949270304,31.52572569382225,50887.3379283595
"Berkshire, Buckinghamshire and Oxfordshire",2018,34896.34362681753,57688.84105737539,69558.79967558799,37.318574340616436,60721.48445713792,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
"Berkshire, Buckinghamshire and Oxfordshire",2019,36720.435905233986,60998.32271049984,72358.13768404297,38.30190632107131,62583.37635518843,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
"Berkshire, Buckinghamshire and Oxfordshire",2020,36974.86813029866,61759.69979226697,74911.81012761116,43.568137958330155,64878.50239658502,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
"Berkshire, Buckinghamshire and Oxfordshire",2021,38494.29108241172,65048.927613941014,79571.20603427071,43.42872841587097,68428.67104418007,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
"Berkshire, Buckinghamshire and Oxfordshire",2022,41674.05324928579,70973.88284015765,84275.85659898477,44.88357627374921,73865.4453894142,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
Cheshire,1998,14725.558068480226,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
Cheshire,1999,15455.654295173375,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
Cheshire,2000,15679.462696529221,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
Cheshire,2001,17804.404594088694,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
Cheshire,2002,18336.368456236603,NA,NA,NA,35174.02397555573,16085.79314272791,NA,NA,NA,32821.521292139805
Cheshire,2003,18511.424553902194,NA,NA,NA,35877.42989563536,16975.748910963528,NA,NA,NA,34503.31916247595
Cheshire,2004,19888.25717085083,NA,NA,23.95653098744783,38610.67275701422,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
Cheshire,2005,21124.6318047929,NA,NA,25.850656680383743,40265.04009392071,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
Cheshire,2006,22590.705189771867,NA,NA,27.176493202516507,42761.93368724093,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
Cheshire,2007,23581.083052913484,NA,NA,28.457495489753132,44982.047005371984,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
Cheshire,2008,23423.493908572706,NA,NA,28.66955706290852,44582.15267318476,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
Cheshire,2009,23311.51721585919,NA,NA,28.58785102798796,44642.57127549899,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
Cheshire,2010,24384.57939823072,NA,NA,29.439599777710093,46194.87991310041,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
Cheshire,2011,24804.78332083755,NA,NA,30.474535291637114,47281.19412563144,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
Cheshire,2012,25581.559330399738,41037.46907034288,53463.04397881649,30.750346435715283,48908.05227194217,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
Cheshire,2013,26480.91558756516,42875.37670625775,56155.0963547713,30.886352184500282,49692.42717489121,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
Cheshire,2014,27690.7108820531,45253.72604684173,57625.39539087212,31.637568588214368,51014.08112649012,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
Cheshire,2015,28044.78106090263,46190.05328596803,59048.59218891916,30.2821397851613,50865.42618009549,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
