qual_level,weighted.mean,ifLLTIwasaverage_weeklyextraearnings,ifLLTIwaslow10percent_weeklyextraearnings,ifLLTIwasaverage_YEARLYextraearnings,ifLLTIwaslow10percent_YEARLYextraearnings
Level 1 and entry level qualifications,246.35612089051267,2756614.9787355936,8647040.303816536,143343978.89425087,449646095.7984599
Level 2 qualifications,370.0920195098783,4141164.4281606507,12990140.4408175,215340550.26435384,675487302.92251
Level 3 qualifications,481.8948491087566,5392188.164137815,16914392.73918799,280393784.5351664,879548422.4377755
Level 4 qualifications or above,774.4176096961238,8665387.224674234,27181870.938793182,450600135.68306017,1413457288.8172455
Median,532.7169179306889,5960864.4188963985,18698235.072141003,309964949.78261274,972308223.7513322
No qualifications,197.35158128010306,2208276.064208956,6926992.806926823,114830355.33886571,360203625.9601948
